,video_id,comments
0,GWDnCgb_XgY,"['siuuuuu', 'RNlDO', '❤❤❤', ""Hello Cristiano my name is pooriya I'm a Iranian and I love to see you siuuuuuuu"", 'Only ronaldo real fan can like this comment', 'Sooooooooo', 'Team Cristiano', 'Can you please please make Hindi shorts', '❤❤❤❤❤❤', '❤❤', 'Just suii things', 'Oʻzbek lar. Bormi😅', 'You are the first in everything\U0001f979\U0001f979🤍', 'Ohhh wow', 'You are the goat', 'nice video', 'Is been 4 weeks and he passed so many youtubers he will beat mr beast i think', '❤❤', 'Cristiano Ronaldo: The definition of hard work and dedication! A true legend! ⚽️💪', 'Te amo Cristiano Ronaldo siuuuu']"
1,WAz6enaA9nE,"['Halo Ronaldo saya dari Indonesia saya sudah subscribe semoga Ronaldo sehat selalu', 'you are not goat messi the Goat', 'Siuuuu', ""Why didn't you come to Iraq?"", 'Cristiano you challange it is Me Subrices', 'Amma köyüm 😂😂😂😂😂😂haaaaa', 'هسه ابو فله راح يقول لا تتمادى نخبزك خبز العباس لا تتمادى😂😂😂😂🤣😂🌚🌚😂', '❤❤', 'Smith David Moore Frank Young Sharon', ""Guys oh ....... i mean ronaldo why u Open the youtube channel did........u....... Don't want to play football again.....?.😟"", 'Teamrıfatnuri', 'هل تحب فلسطين 🇵🇸🤔', 'I phone 😅😅 1,50,000₹😊😊', 'We love you Ronaldo. Huge Respect no matter what ❤❤🐐', '❤❤❤❤❤💕💝🇵🇹\n🇨', 'Goat🐐', 'Please help me sir please from nepal', 'Are you rel ronaldo', ""Mr beast 12 yılda 316 milyon abone olurken, Cristiano Ronaldo 3 ay'da 62,2 milyon aboneye ulaştı (CR7)          ;)."", '😮😮😮Ronado🎉🎉🎉🎉🎉🎉🎉😊😊']"
2,UyV8pwPpLJQ,"['Siuuuu', '😘🇵🇹🐐🇸🇾🇸🇾', 'Thần tượng lớn nhất của tôi', 'Smith Scott Thompson Donna Allen Mary', 'Garcia Nancy Gonzalez Matthew Robinson Sharon', '❤❤❤', 'Please help me sir from nepal', 'Your still the best ronaldo please don’t leave photball please', 'Cristiano Ronaldo go Real Madrid', '“Yes I Am Get Ready.. To Come Back” 🥶🐐', '#❤@UR Cristiano', 'Thomas Larry Miller Brian Johnson Donald', '❤❤ CR7 🇳🇵🇵🇹', 'Peace be upon you, Cristino', 'Ronaldo is life legend of football. .. he always succes in every club .. he score in every club .. best of the best..', '🐐🐐🐐', 'Ronaldo will you play in the 2026 World Cup?', '😢Eu sou do Iraque, espero ver você', 'Yes', ""Uncle Cristiano Ronaldo, I'm from Indonesia, I'm a big fan🎉🎉🎉""]"
3,0kaEMM58_AY,"['SIUUUUUUUUUUUUUU 900 goles goals', 'Cr 😢❤', '\u200f\u202a3:34\u202c\u200f Real Madrid color💁🏻', '❤', '3:15 😂', 'عملت مقلب الطلاق في جورجينا 😮', 'Siuuuuuuuu', '#❤@UR Cristiano', 'You help me sir please from nepal your big fan', '❤❤', 'Hello Sofia Chicago cowboy❤❤', 'Cristiano Ronaldo I want Olivia Newton', 'Olá Ronaldo, sou seu fã da Indonésia, você é uma pessoa generosa, como se sente sendo alguém muito famoso no mundo? Você está grato por poder conseguir tudo?', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊❤😊😊❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 \u200f\u202a2:17\u202c\u200f ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤Adam\nادم ادم', '😂😂😂😂😂', 'Hahaha😂❤❤❤🎉', 'Crazy  family 👪 🤣🤣', 'Está uma bosta este vídeo contrata eu pra fazer os teus edites', 'Vietnam 🇻🇳 welcome you -CR7 - 2025']"
4,erY6UaPXTHE,"['رنالدو تو بهترین در دنیایی من ترفتارتم ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Ronaldo the goat siuuuuu', 'ওহ😂😂', ""Oh Ronaldo's Apple iPad Pro M4🗿🗿☠️☠️"", 'Ronaldo big fan aapko video mein sab mein like subscribe karta Hun Tum mujhse bolo na', 'Every time Ronaldo steps on the pitch, magic happens! Can’t get enough! ✨🔥', 'Who is this girl 😂', 'Hahahahaha😂😂 siuuuuuuuu ronaldo', '😂😂😂😂', 'تكلم عربي', '❤❤❤', 'I love you Ronaldo, come to Iraq ❤', 'Bro looks like Gogeta', 'Songs name', 'hossain🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😚😚😚😚😚😚😚 cr7', 'کریس ک صخل شده😂😂😂', 'Onely Ronaldo🇮🇳🇵🇹♥️🇵🇹🥀👑🥰🥰🥰👑🥀🥀🇮🇳🇮🇳⚽⚽⚽⚽', 'I love you 🥀🥀🇵🇹🇮🇳♥️ Ronaldo', 'RONALDO FANS 👇 SIUUUUU❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥', 'Türkiye❤❤❤❤❤❤🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷❤️❤️❤️❤️❤️❤️👑👑👑👑👑👑👑👑👑💪💪💪💪💪🗿🗿🗿🗿🗿🗿☠️☠️☠️☠️💀💀💀💀🤘🤘🤘🤘🤘🤘❤️🤍❤️🤍❤️🤍❤️🤍❤️🤍🤍❤️🤍❤️🤍❤️🤍❤️🤍❤️🤍❤️']"
5,PX8ykesLfSE,"['❤', 'foot challenge with messi will break youtube record', '1:41', 'Harris Kenneth Brown Dorothy Lewis Betty', 'Lewis Timothy Hernandez Eric Hall Joseph', '😂❤🐐', 'Taylor Anna Rodriguez Laura Young Kenneth', 'Cr7 ❤❤❤', 'Ramossss', 'Ramos 😢😂', 'Ramona 😢 😂', 'Роналду Роналду', 'siuuu', ""I'm to Iran asks to ronaldo❤❤❤❤❤"", 'Lamine yamal', 'From india muslim big fan', 'B', 'Sergio ramos in giggs out', 'Привет роналдо', 'Miller Margaret Anderson Matthew Jones Timothy']"
6,9KXHnqrXZhk,"['CR7 ❤❤❤❤❤ Ronaldo ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💗💗💗💗❤❤❤❤💓💓💓💓❤❤❤💗💗💓❤❤💗❤❤❤💓💓💓❤💗💓❤💓❤💓❤💗❤💓❤💓💓❤💗❤💓❤💓❤💓❤💗💓❤💓❤💗❤💓❤💓❤💓❤💗❤💓❤💓❤💗❤💗❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '👏👏👏🙌🏻🙌🏻🙌🏻', '❤', '#❤@ UR Cristiano', 'Siuuuuu', 'Davis Michael Jones Mark Martinez Brian', '❤❤', '❤ 🐐', '1000000000000👍', 'Love You KING ♔ ♚ ♔ @cristiano ❤️😊💪🔥👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑', '와 호날두다!!', 'Siuuuuuu  ❤❤😊', 'My goat, his goat, her goat , your goat, everybody’s GOAT THE GREAT CRISTIANO RONALDO 🤩🤩🐐🐐🐐🐐🐐🐐', 'Siuu', 'Siuu', 'Please go back to rilmjrid❤❤❤', ""Bro: I have no aura\nBro's aura:"", 'subscribers from day one love and support the 🐐 \n👇', '❤❤❤', 'Eres el mejor Cristiano Ronaldo']"
7,IcdCe7afa8c,"['زیبا❤🇮🇷🇮🇷', 'Congratulations 🎉🎉🎉', 'CR7  tou com você  para bete  a meta dos 1000 Gol', 'Gool SOOOOOO', 'Siuu', 'You are the first in everything\U0001f979\U0001f979🤍', 'Good job cristiano or messi', 'روملدوووووووووو', 'CR7 is not just a player; he’s a phenomenon! Inspiring millions worldwide! 🌍❤️', 'Who can § says Ronaldo is the 🐐', 'Congratulation goat 🙏', 'Congratulations for 1 billion', 'abiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii', 'Uzb silllla🎉🎉🎉', '😢Can Ronaldo come to Iraq? I swear I am oppressed because I want to see you, in fact', ""I'm better than you"", '😮😮', 'I fan of you', 'cr7🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹💋💋💋💋💋💋💋💋🖐🖐🖐🖐🖐🖐🖑🖑🖑🖑🖑🖑🖑👏👏👏❤❤❤❤❤', ""1000 goals are coming bro don't worry""]"
8,etps-RdsTz0,"['Siuuuuuu', 'She two eye balls and….', '❤❤❤❤🎉🎉🎉🎉Olá Ronaldo, bem-vindo ao YouTube, sou iraniano', 'Watching Ronaldo play is like witnessing poetry in motion! Absolute genius! 🎶⚽️', 'I am your biggest fan❤🇵🇹 and i subscribed siuuuuu', 'Mano me dá um salve eu te amo', 'THE GOAT 🐐 ❤❤🇵🇹', 'I love you Ronaldo, come to Iraq ❤😢', 'Cr7fans❤', 'Messi', 'Congratulation on 62Millions  subscriber', 'Tu é muito ruim Cristiano que não sabe nem namorar com a Georgina Rodrigues tu é muito ruim muito muito ruim você não sabe nem jogar futebol o Messi é melhor mas tem copa você não tem copa do mundo sua bosta', 'רק אני או שהןא אמר טל מוסרי בהתחלה', 'QUÉ MIRÁS BOBO sounds like camera wowo', 'Siuuuuuuuuuuuuuu😂😂😂😂😂', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Dls gamer cr7 fan', '😡😡😡😡', ""I love CR7 so much, he's the best 😊"", 'Nice boss']"
9,e9CkkiPCo30,"['Você é ótimo, Ronaldo, somos seus fãs ❤❤❤❤❤🎉🎉🎉🎉', '❤❤❤❤', 'I can’t believe how he keeps getting better with age! Cristiano, you’re timeless! ⏳👏', 'Come on, come to Iraq 😢', 'Please come to Iraq, why do you go to all countries except Iraq? 😢', 'Кыргызстан', '🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😚😚😚😚😚👄👄👄👄👄👄👄🤕🖐🖐🖐🖐🖑🖑🖑🖑', '❤ I love you and Ronaldo', 'Messi', 'Hola', '🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😅🇵🇹😅🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😅🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹fdhwus😯😍🤩🇵🇹😊😊', 'Messiiii❤', 'Mess ❤', 'I love you Ronaldo ❤❤❤❤', 'I love you Ronaldo ❤❤❤❤', 'I love you Ronaldo ❤❤❤❤', 'I love you Ronaldo', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹⚽9000', 'Dls gamer cr7 fan', '😡😡😡']"
