,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount,title_no_stopwords
0,YuVZMQzryo8,UR · Cristiano,¡Jugué contra el n1 de pádel del mundo! ¿Quién ganó?,"Cristiano Ronaldo jugó en Madrid contra Arturo Coello, el mejor jugador del World Padel Tour. Fue un reto a 3 puntos... Y con ello ""se preparó"" para ganar en el Rotterdam Premier 😉",,2024-09-18 13:00:40+00:00,779446.0,138158.0,,8714.0,PT2M46S,hd,true,Wednesday,166.0,0,"['¡Jugué', 'contra', 'el', 'n1', 'de', 'pádel', 'del', 'mundo!', '¿Quién', 'ganó?']"
1,GWDnCgb_XgY,UR · Cristiano,I beat THE BEST Padel player in the world,"#cristianoronaldo #padel #urcristiano #arturocoello 
https://www.youtube.com/watch?v=YuVZMQzryo8",,2024-09-17 09:30:24+00:00,1202988.0,203381.0,,6970.0,PT41S,hd,false,Tuesday,41.0,0,"['I', 'beat', 'THE', 'BEST', 'Padel', 'player', 'world']"
2,WAz6enaA9nE,UR · Cristiano,Cristiano Ronaldo: This is how Manchester United can win everything again | Cris & Rio Part 3,Cristiano Ronaldo and Rio Ferdinand talk about the present and the future of Manchester United.,,2024-09-12 07:00:08+00:00,6232684.0,561431.0,,26537.0,PT9M4S,hd,false,Thursday,544.0,0,"['Cristiano', 'Ronaldo:', 'This', 'Manchester', 'United', 'win', 'everything', '|', 'Cris', '&', 'Rio', 'Part', '3']"
3,UyV8pwPpLJQ,UR · Cristiano,Cristiano Ronaldo reveals the biggest secret of Real Madrid | Talk with Rio Part 2,"Mbappé, Kroos... and why Real Madrid is the biggest club in History. 

Watch Part I: https://youtu.be/M8KHrlhDNIY?si=NdVWOFntspfnRhRm",,2024-09-10 13:00:08+00:00,4850002.0,573794.0,,23830.0,PT9M28S,hd,false,Tuesday,568.0,0,"['Cristiano', 'Ronaldo', 'reveals', 'biggest', 'secret', 'Real', 'Madrid', '|', 'Talk', 'Rio', 'Part', '2']"
4,0kaEMM58_AY,UR · Cristiano,Las 5 cosas que NO SABÍAS sobre Cristiano Ronaldo y Georgina,"El reto más divertido entre Georgina Rodríguez y Cristiano Ronaldo... y mucho más que no imaginabas.

Mira más de Gio y Cris
La revelación que sorprendió a Cristiano: https://youtu.be/zuRujkxTv2Y?si=cHFrMTU5hQTUwK9V

Gio califica los outfits de Cristiano Ronaldo: https://youtu.be/tizVemSwwmc?si=ujw_qlS9s3BZdxcD

Mr & Mrs Challenge: https://youtu.be/I74FAkaL1Fk?si=YJtUfN3Xy6UwH1Zw",,2024-09-09 13:42:17+00:00,4230747.0,504604.0,,22485.0,PT14M39S,hd,false,Monday,879.0,0,"['Las', '5', 'cosas', 'que', 'NO', 'SABÍAS', 'sobre', 'Cristiano', 'Ronaldo', 'Georgina']"
5,erY6UaPXTHE,UR · Cristiano,Cristiano Ronaldo's COOLEST outfit ever!,#cr7 #urcristiano #cristianoronaldo,,2024-09-09 10:37:43+00:00,2970229.0,441702.0,,15776.0,PT28S,hd,false,Monday,28.0,0,"['Cristiano', ""Ronaldo's"", 'COOLEST', 'outfit', 'ever!']"
6,PX8ykesLfSE,UR · Cristiano,Beckham or Giggs? Benzema or Mbappé? Cristiano Ronaldo names his top player,Cristiano Ronaldo and Rio Ferdinand have fun in this quick challenge to find out who is the best player for them!,,2024-09-08 13:01:14+00:00,5619794.0,669263.0,,24640.0,PT2M44S,hd,false,Sunday,164.0,0,"['Beckham', 'Giggs?', 'Benzema', 'Mbappé?', 'Cristiano', 'Ronaldo', 'names', 'top', 'player']"
7,9KXHnqrXZhk,UR · Cristiano,Watch Cristiano Ronaldo’s 900th goal from all angles!,#urcristiano #cr7 #cristianoronaldo,,2024-09-07 13:00:05+00:00,4499596.0,727067.0,,34297.0,PT1M53S,hd,false,Saturday,113.0,0,"['Watch', 'Cristiano', 'Ronaldo’s', '900th', 'goal', 'angles!']"
8,IcdCe7afa8c,UR · Cristiano,900 career goals!,#cr7 #urcristiano #cristianoronaldo,,2024-09-05 20:12:01+00:00,6172607.0,1226449.0,,40636.0,PT18S,hd,false,Thursday,18.0,0,"['900', 'career', 'goals!']"
9,etps-RdsTz0,UR · Cristiano,"Cristiano Ronaldo diciendo ""Qué mirás bobo""!",#urcristiano #cr7 #cristianoronaldo,,2024-09-04 12:48:36+00:00,3905069.0,610540.0,,16963.0,PT25S,hd,false,Wednesday,25.0,0,"['Cristiano', 'Ronaldo', 'diciendo', '""Qué', 'mirás', 'bobo""!']"
